year,day,hour,minute,bx,by,bz,row1,row2,row3,row4,row5,row6,row7,row8,row9,row10,row11,row12,row13,row14,row15,row16,row17,row18,row19,row20,row21,row22,row23,row24,row25,row26,row27,row28,row29,row30,row31,row32,row33,row34,row35,row36,row37,row38,row39,row40,row41,row42,row43,row44,row45,row46,row47,row48,row49,row50
2018,230,16,60,-3.256438333333333,3.189109166666667,0.9720567214999999,,,,,,,,,,,,,,201.19210526315786,232.33251666666666,217.03008333333338,282.9869666666666,231.00091666666665,320.08886666666683,349.9094333333334,383.1202666666667,415.01363333333336,395.4620000000001,353.26118333333335,374.5918666666666,321.99498333333327,364.3443666666666,353.6416333333333,310.54488333333336,291.44906666666674,298.8467666666666,278.96703333333335,336.53603389830516,281.92985714285714,,,,,,,,,,,,,,,,
2018,230,17,60,-2.06907815,0.06162728499999998,3.704491666666667,,,,,,,,,,,,,,250.75206249999997,295.74185964912283,277.4429666666667,344.4411999999999,294.4746500000001,383.74100000000004,413.4871,443.5408166666665,477.85703333333333,465.95020000000017,422.32464999999996,428.86995,368.6998000000001,410.8126500000001,400.5719,360.3181500000001,341.2489666666667,347.6574833333333,326.01210000000003,384.0454074074074,351.85655555555553,416.33516666666674,,,,,,,,,,,,,,,
2018,230,18,60,-2.0837965,2.732554033333334,2.707898313333334,,,,,,,,,,,,,,333.20265000000006,353.7586,337.98181666666676,398.61738333333324,350.34525,443.35629999999986,475.8692833333333,502.50284999999997,531.5602,518.2234666666667,468.7616500000001,470.2907333333334,408.97768333333335,453.16225000000003,442.37545000000006,399.1787000000001,376.4167833333335,382.3230666666667,360.5759500000001,411.57287272727274,348.28966666666673,,,,,,,,,,,,,,,,
2018,230,19,60,-2.4430210000000003,3.013319833333333,1.734491236666667,,,,,,,,,,,,,353.704,332.69479999999993,354.22916666666663,338.64825,400.8839833333332,359.99923333333317,458.1507,491.7224333333334,503.6351666666666,507.3384166666666,482.40835,440.3996833333332,460.86016666666677,406.4128,452.9593500000001,440.2204833333333,382.6206333333334,375.0832166666668,381.9428333333334,359.95133333333337,409.80561111111115,,,,,,,,,,,,,,,,,
2018,230,20,60,-1.0601541116666668,3.7770991666666673,-0.11708260499999999,,,,,,,,,,,,,353.4835,331.03994339622653,352.22405,337.0323166666667,399.69620000000015,356.0574666666666,447.42918333333336,473.4631499999999,489.5810833333333,511.1826166666668,491.67651666666666,440.4713499999998,455.7554833333335,401.26718333333326,450.9675,439.85346666666675,389.8737666666668,375.6575166666667,381.2961333333333,358.6524333333333,408.2389787234043,343.4152857142858,403.158,,,,,,,,,,,,,,,
2018,230,21,60,-0.9328314829787235,3.4241674468085095,-1.0791911276595745,,,,,,,,,,,,,351.808,329.43245652173914,351.16002127659567,336.3071702127659,398.77,354.35238297872337,445.4554468085107,471.5765957446809,488.3010851063829,510.33529787234033,488.2912340425531,434.0129787234042,451.7637872340424,399.0887446808511,450.4354255319149,440.2388085106382,390.57489361702136,373.81365957446815,379.86057446808513,357.32534042553186,406.70991666666663,343.81199999999995,407.757,,,,,,,,,,,,,,,
2018,230,22,60,-3.058850909090909,0.1265839090909091,1.5694297272727271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,230,23,60,-2.0211645333333332,1.6734855999999996,0.6691011983333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,231,0,60,-3.153255833333334,0.2432889627333334,-0.2636601816666667,163.44,59.7772,175.804,162.548,181.614,150.82,179.245,155.663,264.838,212.083,299.997,304.17966666666666,340.1113725490196,319.8864905660378,342.6115471698113,330.4612264150944,401.85005660377357,381.19822641509444,473.5391132075472,483.02166037735867,444.7668867924529,431.4604150943395,424.54977358490555,403.7781320754717,440.8928867924528,388.2762641509435,435.4729056603773,403.6819811320754,366.59635849056605,375.4919433962265,379.4393461538461,374.48972727272735,397.019,332.033,398.168,383.39,415.201,375.897,386.323,360.153,404.365,345.05,397.867,400.595,375.675,397.427,403.99,383.207,435.582,372.694
2018,231,1,60,-1.9465344999999994,1.8934899499999993,-0.4969987016666669,,,,,,,,,,,306.70220000000006,310.5226666666667,348.2654833333333,329.03389999999996,351.0138333333333,341.79026666666675,415.9592333333334,406.95823333333334,487.99153333333305,486.15171666666663,448.93775,441.9786166666665,433.4171333333333,408.1027333333333,444.41058333333336,392.9401999999999,431.31041666666664,385.7298666666667,357.5193499999999,370.48106666666655,376.1516166666667,349.6427142857143,,,,,,,,,,,,,,,,,,
2018,231,2,60,-1.7712843999999994,2.396074333333334,-0.5793100223999997,,,,,,,,,,,323.1027142857143,324.5492608695652,356.83454237288123,337.2289,357.3004166666666,343.47484999999995,412.84078333333343,399.09528333333327,485.36646666666667,488.8527666666666,453.7557333333334,439.27900000000017,423.8841833333334,396.2756166666668,433.7105333333332,383.27438333333316,425.7950166666666,385.9634166666666,355.35381666666666,369.05615000000006,378.51349999999996,357.76065217391306,,,,,,,,,,,,,,,,,,
2018,231,3,60,-2.6050891666666667,0.4076385549999999,-0.4046909266666666,,,,,,,,,,,300.64469090909097,314.6450000000001,356.6283666666668,342.3889499999999,369.1854333333333,368.3473999999999,454.03555,459.21013333333326,515.86185,496.13366666666644,455.03743333333335,455.1746166666666,450.8151166666669,421.87915000000004,446.8273500000001,340.33230000000003,389.92629999999997,372.2867833333331,341.82531666666665,350.526652173913,358.52133333333336,334.1984,,,,,,,,,,,,,,,,,,
2018,231,4,60,-1.9369020166666668,1.7858040166666667,-1.53737765,,,,,,,,,,,295.97726666666665,304.63061538461534,343.0046551724137,326.7026166666666,351.8499000000001,346.37845,424.94433333333325,422.85373333333325,509.0463166666668,512.7011166666665,472.7321166666666,452.71801666666676,437.88455000000005,413.0038666666665,449.1943333333334,393.63873333333333,431.58793333333347,385.26561666666674,353.21971666666667,364.10495000000003,369.38945,344.531125,,,,,,,,,,,,,,,,,,
2018,231,5,60,-2.548733150000001,1.4110446833333334,-0.75516423,,,,,,,,,,,302.3671785714286,312.8563214285714,351.3338448275862,333.85829999999993,360.8339833333334,369.55734999999993,460.2540833333334,457.7395500000001,497.49333333333345,484.0518166666667,455.9647166666665,456.9697166666667,446.84726666666666,419.96921666666645,449.28589999999986,341.26408333333325,400.6224666666667,386.9895666666666,357.08693333333343,368.46259999999995,373.3358571428572,345.652,,,,,,,,,,,,,,,,,,
2018,231,6,60,-2.9889309999999987,1.5963403666666665,-0.9493389466666667,,,,,,,,,,,305.74175,315.3148333333333,352.9747666666666,335.7806666666667,364.6544499999999,383.6101166666666,479.12393333333324,485.56639999999993,524.9514666666665,503.0464833333334,456.1155166666667,451.64871666666664,444.05771666666647,418.74315000000007,447.90475,337.36668333333336,398.5370499999998,386.29321666666675,358.95215,372.57939999999996,375.8455,,,,,,,,,,,,,,,,,,,
2018,231,7,60,-3.8559545,0.5105954283333333,-0.25654983333333337,,,,,,,,,,172.212,306.91013333333336,316.0844166666666,353.7483999999999,337.9142,376.28288333333325,421.5359333333332,505.9056166666667,478.7526833333334,511.2585166666667,485.9052666666667,447.7992166666666,458.3755,450.86938333333336,421.4056833333333,448.1869666666666,336.01455000000004,399.40996666666655,388.72598333333343,360.30985000000015,,,,,,,,,,,,,,,,,,,,,
2018,231,8,60,-3.7696443333333334,-0.5554997478333334,0.05850729666666669,,,,,,,,,,,314.38726666666656,321.74576666666667,357.96051666666665,343.13258333333323,385.6780666666666,429.62640000000005,510.0409000000001,502.216,523.4773500000003,498.55536666666677,469.2715499999998,463.24608333333333,447.9465833333334,418.29428333333345,446.8259666666666,337.0607833333333,401.1429,390.6459666666666,363.19445,,,,,,,,,,,,,,,,,,,,,
2018,231,9,60,-3.898337,1.0794809150000002,1.0379039333333333,,,,,,,,,,,315.52611666666667,322.6993833333334,359.00353333333334,347.8841833333333,399.1470333333334,451.3513166666667,531.8932,530.3577333333335,517.7987666666669,471.15355,435.5223166666667,437.7690333333333,434.8862166666667,413.15963333333355,445.80750000000006,337.62251666666674,402.1812500000002,391.47325000000006,363.63711666666666,,,,,,,,,,,,,,,,,,,,,
2018,231,10,60,-3.8345951666666673,0.95917895,-0.13007618833333337,,,,,,,,154.93583333333336,263.1933829787234,194.14274999999998,319.5163166666667,327.63424999999995,372.2189666666666,396.29491666666667,478.7957833333333,497.09975,501.76428333333337,445.29025000000007,484.8126999999998,479.93218333333346,446.5400666666667,439.9638833333332,433.68991666666665,370.1549333333332,411.5400333333334,340.36978333333326,404.2426271186441,391.20578571428575,363.6223076923077,,,,,,,,,,,,,,,,,,,,,
2018,231,11,60,-3.773134833333333,1.4523221499999999,0.8640209150000003,,,,,,,,,267.82648333333333,199.85574999999997,324.7070999999999,332.01756666666654,375.08933333333334,397.2415833333334,488.5051499999999,530.1840333333332,528.7909000000001,462.96190000000007,494.6604499999999,486.94871666666666,446.07381666666674,439.1906999999998,433.5762166666667,359.16643333333343,402.6739166666668,340.7988499999999,406.52598333333333,394.7985,364.3676666666667,,,,,,,,,,,,,,,,,,,,,
2018,231,12,60,-2.7503031666666646,2.0794710999999997,-0.011507656499999947,,,,,,,,,266.6040344827586,198.15175862068966,322.0213620689655,329.56804999999997,372.6968166666666,386.5532166666666,465.4745999999999,532.3433000000001,584.62535,569.3472666666668,555.3135166666667,513.2813333333332,446.0373499999998,432.1765,429.0686166666668,384.52659999999986,424.92515,343.16725,407.4205000000001,399.3455428571428,373.35614285714286,397.40200000000004,,,,,,,,,,,,,,,,,,,,
2018,231,13,60,1.8462679333333336,-1.4512093,1.512653906666667,,,,,,,,,272.22683333333333,198.70357894736838,319.7296956521739,324.8953076923077,359.9690999999999,347.68951666666646,408.00235,561.8328166666666,751.2458333333333,802.7670166666669,663.4910500000001,578.0111166666666,471.5127000000001,430.97885,424.3939333333332,401.4380166666668,435.0595333333333,353.5465,412.6004500000001,405.16288135593226,374.5027592592592,397.93005263157903,394.47709090909086,,,,,,,,,,,,,,,,,,,
